id,date_flown,route,traveller_type,author,date_of_review,overall_rating,aircraft,cabin_flown,cabin_staff_service,food_beverages,ground_service,inflight_entertainment,seat_comfort,value_for_money,wifi_and_connectivity,review_verified,review_title,review_text
16,September 2022,Singapore to London via Dubai,Business,Martin Hodges-Jones,22nd September 2022,1,A380,1,1,1,1,1,Business Class,1,1,Not Verified,Please pick another airline," The first time travelling Emirates Business class and the last. They lost my luggage in Dubai and have now been without it for nearly 3 weeks. They have not contacted me once. I have phoned 3 times and have been promised $50 per day compensation, money back for all the clothes I have had to buy and calls back to advise on the progress of tracing my lost luggage. When I ask about how I claim this compensation they refuse to answer. They also refuse to answer timelines for tracing my luggage. They have been utterly useless and disinterested. I have called them, used Twitter and Facebook and they have delivered only generic responses. I have lodged two complaints through their complaints portal. No response. Please pick another airline."
17,September 2022,Athens to Perth via Dubai,Couple Leisure,A Henneberry,20th September 2022,1,na,1,1,1,1,1,Economy Class,1,1,Trip Verified,Absolutely terrible experience," Firstly, canceled flights departing Athens to Perth leaving us stranded in Athens for a night so we had to get accomodation. Then you had my booked with a 14 hour stop over in Dubai which is unacceptable. I requested this to be changed and it was to a later flight which worked better. I was reassured my partners flight had been linked (we had separate bookings) and that we were both on the new flight together (this was via virtual chat). We arrive at the airport to check in and even though he had received flight confirmation we were told he didn’t have tickets so we had to go get this sorted at the emirates desk. We’re both finally on the same flight only to be told we cannot be seated together on either of the flights even though we booked months ago and had already selected our seats together. The man at Athens airport checking us in did not care or try to assist us. Absolutely terrible experience and now my partner and I get to sit alone on an 11 hour flight. Completely unacceptable and very poor form from Emirates. I want a refund or some form of compensation for the hotel, meals in Athens whilst stranded and the stress of this whole situation. Completely ruined the end of our trip. I will never fly with them again."
18,September 2022,Bangkok to London Gatwick via Dubai,Family Leisure,Dua Mawrassi,20th September 2022,1,na,1,3,1,3,1,Economy Class,1,na,Not Verified,I simply wouldn’t trust them," We arrived in good time to check in at Dubai only to find that my wife’s and 5 year old daughters seats had been changed to be apart on the flight. Previously we had been sent an automatic allocation of seats 2 days before the flight placing them together. Despite my pointing out that a 5 year old cannot travel unaccompanied, no one seemed to care and I had to insist that a manager at least be involved. We were then taken to the aircraft in the hope that some passengers might change seats. 20 minutes past with no good news whilst we were just left to stand by the aircraft door. At no point was any offer made regarding accommodation or alternate flight and, again, we were encouraged to accept that our daughter would have to travel next to a random stranger and presumably feed herself hot meals throughout the 7 hour flight. And then as the doors were about to be shut 2 seats together were suddenly found! When I complained formally about the distress this all caused, a curt reply was sent denying that seats had been changed at check in. My view of this airline feels irreparable damaged and I simply wouldn’t trust them with providing a reliable and safe journey in the future when they cannot even look properly at what went wrong on this occasion."
19,August 2022,Bahrain to Birmingham via Dubai,Solo Leisure,E Lamari,14th September 2022,4,Boeing777-300er,2,2,2,3,3,Economy Class,4,2,Trip Verified,Emirates is overhyped for nothing," Outbound (BAH TO DXB): Smooth flight, generous amount of food for such a short flight and it was tasty as well Outbound (DXB to BHX): Disastrous, flight was overbooked and cramped making the staff take a long time to board, we economy passengers were basically treated like cattle. IFE wasn't responsive, and food especially breakfast were bad - portions fit for a child, and mid flight I realized the meals had given me stomach pains and nausea. Inbound (BHX to DXB): Extremely bad service, 3 hours after take off and nothing (not even drinks) were given, my blood sugar started going down and I got dizzy because of that. When meals were served finally, it seemed the attendants forgot to give a lot of people meals (including my seat mate). Besides that, my meal was terrible barely cooked pasta with a droplet of sauce, dead vegetables that was pathetically called a salad, and I was given a bread roll with nothing to use it with. Crew barely served any drinks, I got massively dehydrated (7hrs flight), and in the morning they refused to serve me breakfast because I woke up 2 hours before landing - not even a coffee or tea was offered to me. Overall, it's was a very below average flight and Emirates is overhyped for nothing."
20,September 2022,Bengaluru to Amsterdam via Dubai,Solo Leisure,S Marphata,14th September 2022,4,na,1,4,4,4,1,Economy Class,1,na,Trip Verified,the worst experience by Emirates," The flight in which i travelled from Dubai to Amsterdam turned out to be the worst experience by Emirates. Water was dripping from the roof and the crew took it very lightly. They were responding that we have informed to our manager, but no actions were taken about it till i landed in Amsterdam. I literally had to hold and sit with the plastic cover they had given as the blanket cover for most of the distance."
21,September 2022,Dallas to Ahmedabad via Dubai,Solo Leisure,F Shah,10th September 2022,2,na,na,na,1,na,na,Economy Class,3,na,Not Verified,disappointing and inconvenient," I had booked return flights with wheelchair service for my 60 year old Mom for AMD to DFW and back. The flight schedule was changed and instead of 3 hours bearable lay-over, now there was a 11 hour lay-over. They gave hotel accommodation but I was still worried due to my mother’s health and age.  While returning from DFW and reaching DXB, they told my mother that she doesn’t have wheelchair booked. Due to less passengers, upon asking for help, they agreed to provide her wheelchair but what if the flight was packed? Strike 3: I talked to customer service about their initial refusal to provide a wheelchair and they had no answer but “Her wheelchair is booked”. So I asked customer service for the instructions that my mother should follow to get back to the airport from hotel and again the only answer to all my questions was “Our staff will be there to assist her everywhere”. After her hotel stay, my mother was dropped at the road-side of the airport with nobody to help. She asked questions to the passing-by people and thank God she was able to find her way into the airport wheelchair counter. I genuinely liked Emirates but this is very disappointing and inconvenient especially given that mother is a senior citizen. I’ll never fly emirates again."
22,September 2022,Auckland to Manchester UK via Dubai,Couple Leisure,Stephen Fair,7th September 2022,1,A380,1,na,1,na,1,First Class,1,na,Not Verified,"Book with another airline, never again!"," Having purchased first class tickets for my wife and I to return to New Zealand in January we were very much looking forward to our return journey having booked business class on the outbound flights from New Zealand. The booking was made and fully paid for four months ago. I have been advised by curt email that I have been downgraded to business class, no mention of apology, explanation nor compensation or refund. It gets better, there seems no way of contacting Emirates in New Zealand their advertised phone number is cut off. What a shambles of an airline and we haven't even left the ground. This is how they treat premium paying clients, forget it. Book with another airline, never again!"
23,September 2022,Dubai to London,Business,R Peale,5th September 2022,8,A380,5,5,5,5,3,Premium Economy,4,na,Trip Verified,Food and service excellent, My first experience of Emirates new premium economy class. Food and service excellent. Seats however are a little bit firm and not as comfortable as the pictures suggest. Also the recline is quite big so you can feel a little trapped once the person in front refines. Access to three toilets for 50 plus passengers is a real bonus and you get glimpses of the flight deck if that is an interest. I paid very little in cost difference which was the attraction but Emirates economy is very good in any case so May not always be a choice I am willing to pay much extra for. Also it was a two meal service for a seven hour flight which is good.
24,August 2022,Houston to Tehran via Dubai,Solo Leisure,Mojgan Khodadadian,3rd September 2022,1,na,na,na,1,na,na,Economy Class,1,na,Not Verified,asked to pay over $300 again," My sister flew from Houston to Tehran via Dubai. In Houston, she paid $225 for an extra suitcase. The agent asked for cash and said they do not accept credit card but after my sister insisting that she does not have cash, they accepted her credit card.  Upon her arrival to Dubai for her second leg of her flight, she was asked to pay over $300 again. When she showed her receipt and the destination noted, the agent started to scream at her and say, either she pays or she will lose her flight. When she tried to reason, the man started to scream more and louder, and took her passport. My sister told him that she will pay, just tell her how to do it. Then the agent took her to a counter and when she went to pay, the price was increased to $350. She paid with credit card and they wanted the pin to her credit card. She told them the she did not have the PIN as this was not debit.  She decided to pay in cash, so she can leave but the agent got on her face. She was handed a repeat for $285 and she did not get her change back out of $400.  Now, I am scrambling in Houston to find a return flight for her, so she does not have to return to Dubai and moreover, to travel with Emirate. "
25,August 2022,Jakarta to Zurich,Family Leisure,T Harjani,2nd September 2022,4,na,1,1,3,4,1,Economy Class,2,2,Trip Verified,Very disappointing," When I fly from Jakarta to Zurich transit Dubai on 19 august the cabin crew was unpolite, Isit in the middle between my husband and my daughter, they ask my husband and my daughter for dinner but did not ask me so I call the bell for dinner and told that I am running out of food choices. Very disappointing."
26,September 2022,Stansted to Dhaka via Dubai,Family Leisure,M Barhani,1st September 2022,1,na,na,na,na,na,na,Economy Class,2,na,Trip Verified,Wish I had read these reviews," Wish I had read these reviews. I paid over £2,500 for tickets from London to Dubai to Bangladesh for early next year. I’m travelling with my wife and 2 babies (1 &2.5 years old). The only reason I chose their flights was because it gave the best option of 14 hours in total for flight and transit which is still long with 2 babies but better than 21.5 hours, they suddenly decided to change my original flights, booked only 10 days before, they’ve sent me a text and a short email to say: this is your new itinerary nothing else. I was shocked. How could any airline be so insensitive knowing that these customers are flying with an infant and a 2.5 year old so the least they could do instead of sending us a little text and email giving us no option whatsoever to change or contact them to discuss or be decent to call us at least to see if this was acceptable or not, did we want to change our flights or else cancel and get a refund as they have breached our contract. But nothing and when we tried to call their number in London this guy said he can’t help us with rebooking or a refund but he can put us through to them in Dubai. I hang on and on for 3 hours before realising this was a trick to just get rid of us. I got tired and hung up. There is no other way for us to contact them now at all because when we call their only one number in London you get the due to high volume of calls we can’t answer your call, when I tried the only number given in Dubai nobody answers. Not only are we devastated but also out of pocket by £2,500 because we can’t possibly go on their imposed alternative flight of 21.5 hours with 2 small restless babies. "
27,August 2022,Zurich to Dubai via Harare,Couple Leisure,Hugo Rämi,30th August 2022,2,na,1,1,1,1,1,Economy Class,1,1,Trip Verified,a frustrating and a sad first time try with Emirates,"We chose to book a more expensive flight due to shorter transit time in Dubai. However, just a few weeks before our flight, Emirates, without giving us any options, just changed our flight date and a much longer transit time in Dubai, no offer for a hotel overnight stay. In ZH, they have no office, nor could we contact their phone no. It is a frustrating and a sad first time try with Emirates."
28,August 2022,Dubai to Brisbane,Couple Leisure,Ken Rowson,29th August 2022,3,A380,2,2,1,2,1,Premium Economy,1,3,Trip Verified,Very disappointed with overall care, Dubai to Brisbane. Very disappointed with overall care factor. Booked seat a week ahead of flight and was changed by airline with the comments due to operational requirements with no effort to fix it. Never again with these guys they simply don’t care.
29,August 2022,Kuala Lumpur to Boston via Dubai,Solo Leisure,M Norris,29th August 2022,2,na,5,3,1,3,2,Economy Class,1,na,Trip Verified,Avoid this airline at all costs," Avoid this airline at all costs! They forced me to check my carry-on, and then they lost it. Since then, they have not made any attempt to locate it beyond emailing the airport, even though I have called them daily, written to them on Facebook, and submitted multiple complaint forms (they have no answered the complaint forms). I every time I call them, they say ""Ma'am, we've emailed the airport and haven't heard back yet. Please be patient."" I've called the airport, and the representative I spoke with said that Emirates needs to show up in person to locate my missing suitcase - he said that just emailing the airport, as they've done, will accomplish nothing. When I relayed this info to Emirates, they refused to listen. Everyone I've spoken with tries to get off the phone as quickly as possible without taking steps to investigate the issue. It's incredibly frustrating to be stuck in this limbo with airline that will not solve a problem that is their responsibility to solve."
30,August 2022,Dallas Ft Worth to Dubai,Solo Leisure,Ahmed Alhilou,28th August 2022,10,Boeing 777-300ER,5,5,5,5,4,Economy Class,5,5,Trip Verified,A very pleasant trip, A very pleasant trip on Emirates Economy from Dallas to Dubai. EK remains the best in Economy. I couldn't fault this flight at all. Check in was easy and friendly ground handling agents despite Dallas being chaotic due to the storms. Onboard the cabin crew were friendly and attentive. The food was plentiful and the IFE was excellent. Wifi was slowish at times but suffice for WhatsApp and communication. I was dreading flying 15 hours in coach but EK made this experience a lot better! 
31,August 2022,Singapore to Dubai via Athens,Couple Leisure,Caroline Lane,25th August 2022,4,A380 / Boeing 777,2,1,3,3,2,Business Class,3,na,Not Verified,they don't live up to their reputation," After being concerned about our Qantas BC flight to Singapore with their issues, we were really looking forward to flying Emirates BC for the 1st time. Qantas blew Emirates out of the water. Worst business class ever. Really disappointed. You pay a lot to fly business class, so the expectation that something as simple as the food to be hot should be expected. Both flights the food was Luke warm. Can't stand cold food. It maybe the size of the A380 business class, but the whole set up seemed cold. Took off, and it was like a conveyor belt. Seat cushion on for sleep. Food orders taken. Place mat down. Crew were like robots, zero warmth. Qantas do the same, but just felt totally different. More customer interaction and dare I say warmth. 777 flight was a little better but the food was still cold. Sorry unacceptable in business class or even economy for that matter. Not looking forward to our flight from Europe back to Singapore in 6 weeks. When you save to fly business class, when the airline gets it wrong you feel ripped off. Yes they got us there in one piece with our luggage so I suppose I should be happy with that. We get to try Singapore Airlines and Turkish Air BC on this trip as well. So these flights on Emirates I dare say will be our last. Quite simply they don't live up to their reputation which is such a shame."
32,August 2022,Beirut to Sydney via Dubai,Family Leisure,Clarina Abiantoun,24th August 2022,2,A380,1,1,1,1,1,Economy Class,1,1,Trip Verified,Very disappointed and unprofessional," Very disappointed and unprofessional. We flew from Lebanon to Dubai and then to Sydney our baggage was delayed so it was meant to arrive on the next flight. A week later with no information at all about our baggage which we had to chase up on a daily basis, the bags arrived damaged. We emailed them and attached photos of the baggage and did not receive a reply. They need to reimburse us for the damaged baggage. Will not be flying with them again."
33,May 2022,Adélaïde to Paris via Melbourne and Dubai,Solo Leisure,Celine Bacconnet,23rd August 2022,1,na,1,4,1,3,2,Economy Class,1,1,Trip Verified,was the worse service I got," I travelled with many airlines until à now and it was the worse service I got. The first time I didn’t get my luggage on arrival and no compensation above all. An airlines who allows itself to plan short connection, and arrives late in Dubai, to the price of leaving your luggages behind. And after complaining to the customer service, this is what you get : “ Dear Miss Bacconnet, Thank you for your correspondence. I regret the inconvenience you experienced when your baggage was not available for collection upon you arrival in Paris on 30 May 2022. Our records indicate that your baggage was unintentionally left behind in Dubai and subsequently returned to you. Compensation for delayed baggage is offered to passengers to assist with the purchase of essential items of an immediate need. Passengers who are residents in the country where the claim has been registered are not eligible for this payment. Delayed baggage compensation also does not cover consequential expenses such as hotel accommodation, transportation, loss of income etc. We are not in a position to offer compensation and recommend that you contact your insurance company for assistance. Thank you for the opportunity to respond. We hope to have the pleasure of welcoming you on board in the near future under more favourable circumstances. Yours sincerely, Emirates Customer Affairs” Apparently, even though I don’t leave in Paris, I don’t have “essential needs” because my country can its residents all their essential needs. It is well known that when you live in a country, everything is free for you. Like I didn’t pay the hotel because I had to wait for my luggage for almost two hours after someone came to me to let me know it’s not gonna come today so that I missed my train back home. Consequently I had to book a night in a hostel because a hotel in Paris is crazy expansive. And as I didn’t have essentials I had to pay not less than 4€ to rent a ridiculous cheap quality towel. The service onboard is not exceptional, the crew is not really willing to help. The AC is crazy low and when you ask for second blanket, it looks like you ask too much. Compared to Qatar there is no free wifi allowance. "
34,August 2022,Bahrain to Delhi via Dubai,Family Leisure,Aarti Shishodiya,20th August 2022,5,A380-Boeing 777,4,5,2,5,4,Economy Class,3,4,Not Verified,experienced the worst experience," Since it was sudden sandstorm on Sunday 14August 2022,our flight was delayed from Bahrain and then Dubai too. Wen we arrived Dubai Airport then Emirates staff gave us Boarding passes and meal vouchers for another rebooking which was 6 hours later and I asked for lounge or some waiting areas from the staff since I carrying 1 month infant with me along 1 child, she denied saying that lounges are all occupied because all flights are delayed. I again understand that lounge may not be available but she could have shown some empathy and could have tried from her end to facilitate us by saying let me check if possible. I was not informed that there will be no announcements on this airport and she did not even tell that your gate may be in another building for which you will have to go by bus or metro which takes another 30-40 minutes at least. Somehow I found a place to feed my baby which was quite far but concourse B was mentioned on my Boarding pass so I thought its near only we went to relax n feed my baby and later our gate was changed to another building and I did not know it will take such long time to reach there. Running through the way we couldn't manage it to the gate, we missed that flight too. I believe Emirates staff should communicate with the passenger clearly about the important information specially when someone like me who is going on Dubai Airport first time. I could get direct flight from Bahrain to Delhi but I wanted my family to experience the service Of Emirates and they experienced the worst experience, partially because of bad weather Delays and partially because of staff's miscommunication or no interest to facilitate the passenger with special need or request. "
35,August 2022,Riyadh to Miami via Dubai,Solo Leisure,U Malik,18th August 2022,1,na,2,1,1,2,2,Economy Class,1,1,Trip Verified,disappointing and highly unprofessional," On 14th August flight EK818 was delayed due to bad weather etc. However what followed was disappointing and highly unprofessional by Emirates Dubai Staff. Was put on EK2010 to JFK although I requested for next day EK213. Emirates lied by misinforming that none was available. Came to know later that those who shouted were accommodated. Unfortunate, but it works with Emirates Suffered a lot due to due to the forced itinerary. Lost additional 500 USD in hotel reservations and bus connections, Miami to Tampa. Emirates Complaint department don't have the courtesy or guts to respond. "
36,July 2022,Dhaka to London via Dubai,Solo Leisure,L Shamil,8th August 2022,10,na,5,4,1,5,5,Economy Class,5,na,Trip Verified,highly recommend this flight," Wonderful service while flying on Emirates. Clean planes, good food, and, wonderful crew. My flight from Dubai to London on the A380 was a wonderful experience. I would highly recommend this flight."
37,July 2022,Munich to Bangalore via Dubai,Business,T Barden,8th August 2022,9,Boeing 777,5,5,5,5,4,Economy Class,5,na,Trip Verified,I got an excellent meal," Emirates not to blame, but Munich Airport (Terminal 1) was a shame: dirty, unorganised, very few options for food etc. In short not what to expect in Germany. Check in a bit tacky (but friendly) regarding visa and check-in system not running, but after 20 mins I finally got my boarding pass. On both flights I got an excellent meal with appetiser, main, cheese and desert on a tray and it was no problem to get some wine with it. A generous perk as Silver EK-member is I was permitted into the Emirates Business Lounge in Dubai, which is an excellent place for a shower, some really good food."
38,August 2022,Dubai to Tehran,Family Leisure,S Jahnaz,4th August 2022,2,na,2,3,1,2,2,Economy Class,1,na,Trip Verified,behavior in check-in was very rude," I use different airlines very frequently, and Emirate is one the worst. It canceled my original flight and change to new one with more than 8 hours gap, and they didn't suggest any facility. Also, the reason for canceling the first flight is unclear, because the first flight was working and no need to change my flight. Their behavior in check-in was very rude. They weight everything even a tiny kid backpack and charged very expensively for even 1 kilo overweight. Finally, I never use this unreliable airline."
39,July 2022,Cochin to Dubai,Business,Susan Thomas ,3rd August 2022,5,na,1,1,2,2,3,Business Class,3,3,Trip Verified,!I had a horrendous experience, We traveled from Cochin to Dubai on 31st July via Business class. I had a horrendous experience with the flight attendants. The supervisor and the assistant had completely forgotten all the etiquette and the hospitality they are supposed to extend. I feel Emirates must give refresher courses to the staff and continuous evaluation should be taken to maintain the standard. When I expressed my displeasure they were asking me what should I serve to make me happy and I told them we don't choose Emirates for food. I'm thoroughly disappointed with their attitude and behavior.
40,July 2022,Toronto to Dubai,Solo Leisure,Peter Harrison,1st August 2022,3,A380,1,1,3,4,1,Economy Class,2,1,Trip Verified,cause me to look at alternate airlines, I am a Gold member of Skywards. During a flight departing from Toronto to Dubai the flight crew allowed the children sitting behind me to use my seat as a climbing frame. With no regard for myself or the other passengers within the row nothing was addressed. Eating the served meal was impossible as was any attempt at drinking any fluids. This was drawn to the attention of both the parents and the flight staff all to no avail. If the children were not climbing then they were kicking the back of my seat. The children would seldom sit even during turbulence and during take-off and landing. After so many years of traveling with Emirates this whole encounter will cause me to look at alternate airlines.
